n,F
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0.0625
17,0.0588235294117647
18,0.0555555555555556
19,0.0526315789473684
20,0.1
21,0.142857142857143
22,0.136363636363636
23,0.130434782608696
24,0.125
25,0.12
26,0.115384615384615
27,0.111111111111111
28,0.107142857142857
29,0.103448275862069
30,0.1
31,0.0967741935483871
32,0.09375
33,0.0909090909090909
34,0.0882352941176471
35,0.0857142857142857
36,0.0833333333333333
37,0.0810810810810811
38,0.105263157894737
39,0.102564102564103
40,0.1
41,0.0975609756097561
42,0.0952380952380952
43,0.0930232558139535
44,0.0909090909090909
45,0.0888888888888889
46,0.0869565217391304
47,0.0851063829787234
48,0.0833333333333333
49,0.102040816326531
50,0.1
51,0.0980392156862745
52,0.0961538461538462
53,0.0943396226415094
54,0.0925925925925926
55,0.0909090909090909
56,0.0892857142857143
57,0.087719298245614
58,0.103448275862069
59,0.101694915254237
60,0.116666666666667
61,0.114754098360656
62,0.129032258064516
63,0.126984126984127
64,0.140625
65,0.138461538461538
66,0.136363636363636
67,0.134328358208955
68,0.132352941176471
69,0.130434782608696
70,0.128571428571429
71,0.140845070422535
72,0.138888888888889
73,0.136986301369863
74,0.135135135135135
75,0.133333333333333
76,0.131578947368421
77,0.12987012987013
78,0.128205128205128
79,0.126582278481013
80,0.125
81,0.123456790123457
82,0.134146341463415
83,0.132530120481928
84,0.130952380952381
85,0.141176470588235
86,0.13953488372093
87,0.137931034482759
88,0.136363636363636
89,0.134831460674157
90,0.133333333333333
91,0.131868131868132
92,0.130434782608696
93,0.139784946236559
94,0.148936170212766
95,0.147368421052632
96,0.15625
97,0.154639175257732
98,0.153061224489796
99,0.151515151515152
100,0.15
101,0.158415841584158
102,0.156862745098039
103,0.155339805825243
104,0.153846153846154
105,0.152380952380952
106,0.150943396226415
107,0.158878504672897
108,0.157407407407407
109,0.155963302752294
110,0.154545454545455
111,0.153153153153153
112,0.151785714285714
113,0.150442477876106
114,0.149122807017544
115,0.147826086956522
116,0.155172413793103
117,0.153846153846154
118,0.152542372881356
119,0.151260504201681
120,0.15
121,0.148760330578512
122,0.147540983606557
123,0.154471544715447
