n,F
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0.0714285714285714
15,0.0666666666666667
16,0.0625
17,0.0588235294117647
18,0.0555555555555556
19,0.0526315789473684
20,0.05
21,0.0476190476190476
22,0.0454545454545455
23,0.0869565217391304
24,0.0833333333333333
25,0.08
26,0.0769230769230769
27,0.0740740740740741
28,0.0714285714285714
29,0.0689655172413793
30,0.1
31,0.0967741935483871
32,0.125
33,0.121212121212121
34,0.147058823529412
35,0.142857142857143
36,0.138888888888889
37,0.162162162162162
38,0.157894736842105
39,0.153846153846154
40,0.15
41,0.170731707317073
42,0.166666666666667
43,0.186046511627907
44,0.181818181818182
45,0.177777777777778
46,0.173913043478261
47,0.170212765957447
48,0.166666666666667
49,0.163265306122449
50,0.16
51,0.156862745098039
52,0.153846153846154
53,0.169811320754717
54,0.166666666666667
55,0.181818181818182
56,0.178571428571429
57,0.175438596491228
58,0.172413793103448
59,0.186440677966102
60,0.183333333333333
61,0.180327868852459
62,0.17741935483871
63,0.174603174603175
64,0.171875
65,0.169230769230769
66,0.166666666666667
67,0.164179104477612
68,0.176470588235294
69,0.173913043478261
70,0.171428571428571
71,0.169014084507042
72,0.166666666666667
73,0.178082191780822
74,0.175675675675676
75,0.173333333333333
76,0.184210526315789
77,0.181818181818182
78,0.179487179487179
79,0.177215189873418
80,0.1875
81,0.185185185185185
82,0.182926829268293
83,0.180722891566265
84,0.19047619047619
85,0.188235294117647
86,0.186046511627907
87,0.183908045977011
88,0.181818181818182
89,0.179775280898876
90,0.177777777777778
91,0.175824175824176
92,0.173913043478261
93,0.172043010752688
94,0.170212765957447
95,0.168421052631579
96,0.166666666666667
97,0.164948453608247
98,0.163265306122449
99,0.161616161616162
100,0.17
101,0.168316831683168
102,0.166666666666667
103,0.16504854368932
104,0.163461538461538
105,0.171428571428571
106,0.179245283018868
107,0.177570093457944
108,0.175925925925926
109,0.174311926605505
110,0.172727272727273
111,0.171171171171171
112,0.169642857142857
113,0.168141592920354
114,0.166666666666667
115,0.165217391304348
116,0.163793103448276
117,0.162393162393162
118,0.161016949152542
119,0.168067226890756
120,0.166666666666667
121,0.165289256198347
122,0.163934426229508
