n,F
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0.0625
17,0.0588235294117647
18,0.0555555555555556
19,0.0526315789473684
20,0.1
21,0.0952380952380952
22,0.0909090909090909
23,0.0869565217391304
24,0.0833333333333333
25,0.08
26,0.0769230769230769
27,0.0740740740740741
28,0.0714285714285714
29,0.0689655172413793
30,0.0666666666666667
31,0.0645161290322581
32,0.0625
33,0.0606060606060606
34,0.0588235294117647
35,0.0571428571428571
36,0.0555555555555556
37,0.0540540540540541
38,0.0526315789473684
39,0.0512820512820513
40,0.05
41,0.0487804878048781
42,0.0476190476190476
43,0.0465116279069767
44,0.0454545454545455
45,0.0444444444444444
46,0.0434782608695652
47,0.0425531914893617
48,0.0416666666666667
49,0.0408163265306122
50,0.04
51,0.0392156862745098
52,0.0384615384615385
53,0.0377358490566038
54,0.037037037037037
55,0.0363636363636364
56,0.0357142857142857
57,0.0350877192982456
58,0.0517241379310345
59,0.0508474576271186
60,0.05
61,0.0655737704918033
62,0.0645161290322581
63,0.0634920634920635
64,0.0625
65,0.0615384615384615
66,0.0606060606060606
67,0.0597014925373134
68,0.0588235294117647
69,0.0579710144927536
70,0.0571428571428571
71,0.0563380281690141
72,0.0694444444444444
73,0.0684931506849315
74,0.0675675675675676
75,0.0666666666666667
76,0.0657894736842105
77,0.0649350649350649
78,0.0641025641025641
79,0.0632911392405063
80,0.0625
81,0.0617283950617284
82,0.0609756097560976
83,0.0602409638554217
84,0.0595238095238095
85,0.0705882352941176
86,0.0697674418604651
87,0.0689655172413793
88,0.0681818181818182
89,0.0674157303370786
90,0.0666666666666667
91,0.0659340659340659
92,0.0652173913043478
93,0.0645161290322581
94,0.0638297872340425
95,0.0631578947368421
96,0.0729166666666667
97,0.0721649484536082
98,0.0714285714285714
99,0.0707070707070707
100,0.07
101,0.0792079207920792
102,0.0784313725490196
103,0.0776699029126214
104,0.0769230769230769
105,0.0761904761904762
106,0.0754716981132075
107,0.0747663551401869
108,0.0740740740740741
109,0.073394495412844
110,0.0727272727272727
111,0.0720720720720721
112,0.0714285714285714
113,0.0707964601769911
114,0.0701754385964912
115,0.0695652173913043
