lambda,theta,phi
9.49213026991187,0.918140747000308,4.68014277012803
12.8290406739619,0.638361701796813,5.60628008717214
3.1101186499594,1.51602656645895,1.52432203214443
13.2839575393809,0.493223373707313,0.814281814437341
6.65253547401262,0.94031600395591,1.41414321010413
2.9072006635395,0.891176071772725,2.19920231317396
4.03129763831542,0.671665361786623,1.80380582323739
5.85109323575933,0.386638430118146,5.82757901929506
17.740230344855,0.159211947860439,0.322413842887476
19.0413732786063,0.706179402086743,3.72383504836657
3.30798234215222,0.443461933352824,1.02352397640377
20.2128121612717,1.01964934636011,5.26785881346418
17.6818229570727,0.654262628057868,1.0528163747608
5.36747511149949,1.16141144631408,3.15541952799735
9.15907554566055,1.02917125052875,6.27897229964583
3.21014270640298,0.85666509993856,2.2330889909129
4.92171318752164,0.434041955602413,0.295797972932902
13.4410349552495,1.36286484949241,1.3424690491544
8.9857866369591,0.541117548304797,2.49969693918331
18.0814411466947,1.29259623542673,2.09649900843882
6.89919199837806,0.492742333163919,1.44263525535381
2.35067935346875,0.657574172044462,5.88181654503534
10.4361964141423,0.300297682006774,4.29260173405681
14.8404385308011,0.927416626725656,6.04513926512068
7.17974324273366,0.43895134211271,2.75186663464115
8.33027040463466,0.213879366041735,5.90830945085985
8.08682707388663,1.01673762023269,0.0366581424304375
4.72752528043668,0.630363473279754,3.83467216420345
6.89641348692391,0.948914109234027,5.03330742610729
3.39242682475776,0.668196434711299,1.4638661475888
7.53643209180423,0.914163276127366,5.8588734839519
2.29796798148323,0.147674921037487,4.79572145549408
4.02193587377395,1.26710094884491,5.19273560498522
2.46650737582214,1.10784740449225,3.60317799412457
2.90401078248125,1.04241576751615,4.97993746674015
9.70968841454362,1.12374945391976,2.06742680715396
7.38651742532234,0.667618263284125,1.40405300510727
4.26070859556265,0.903780331579514,1.96278127433895
16.6804168028888,0.861182860501026,3.67266933199212
2.33348051440193,0.815467990867088,5.214504337087
5.03557416907705,0.552093602324433,1.82502965917657
4.65958130870595,0.522014182240871,2.52932384155162
8.46766111300742,0.736961209521877,5.41646575146207
9.04750505051948,0.497457401095396,3.86252250966187
3.48901507204966,1.11273421154154,6.22781654828958
5.40078280853597,1.45264132924856,1.27987777965531
5.08234307302058,0.174059414924229,5.19750796850229
6.79951906446513,0.821092665189125,4.24656379389068
7.58273797764856,0.299548136726549,1.56419565238427
8.27632493233268,1.10976817663291,2.98944925822892
4.01659952157241,1.46641914081062,2.50746360102914
7.19180522803397,0.26171729670652,3.76638159925262
6.89239719276153,1.32206554433209,5.02983288016152
3.33908009950622,0.135235923367073,0.660166560020096
3.05600272003236,0.973653190280751,5.16127352483231
5.46604852990404,1.08711493207952,5.284701271011
18.1246652946825,0.819562309081771,2.22742842612025
4.40285549418182,1.2253824868519,2.70220612857443
6.1897969138916,1.2473909189372,3.59548504932251
3.70900500698208,0.912706909874223,4.40341165128992
8.2197289434408,0.380416407610852,4.66507506812768
3.89333089873986,0.485546973052111,4.7619265597248
5.52367439197156,0.440929106352522,2.44496812985913
7.44128038488751,0.205951920920822,2.69738706608666
11.7148166950123,0.333147783973786,6.00889070060783
18.0469004090638,0.902920777406953,3.6000852762685
5.85381026143455,1.32261650226495,5.33896112625323
3.18894833589839,0.637715938022598,1.73632883107289
3.25622748263691,0.695544398970246,3.91017459503676
3.90752337661426,1.44536539611717,3.69678549207122
10.1817142082044,1.33534417616781,6.05365090828935
3.88854974658918,0.96594060091337,0.539742550865361
9.4815946721598,1.46242826523463,3.14472728198561
3.82527221857332,1.06686103655668,3.27724459174913
14.4526180266689,0.619045352911895,0.566529700035154
4.46151470055422,0.950779111739806,5.68418713308687
3.54691769096461,0.51683480871651,5.55677958427731
3.86973934806868,0.574727137388731,2.75825342447655
6.48640778113782,0.969723314312916,4.91170803577117
5.27936595210191,0.813259409755311,0.932833250788104
4.47175612991999,0.696524433728205,3.8944183273214
9.90291740007077,0.888771238418279,1.63754687307411
6.18976240227942,1.0477982685396,2.80014055977046
