wavelength,bundles,energy,power,Elb,error
0,0,0,0,NaN,NaN
0.720720720720721,33,19.7355609661289,27.3830908405039,0.0308945267074214,885.341166505908
1.44144144144144,623,372.583469148434,516.959563443452,92.2935022238591,4.60125632885357
2.16216216216216,2228,1332.4493888647,1848.77352704977,1109.73578562611,0.665958285743397
2.88288288288288,3358,2008.24284012912,2786.43694067915,2416.5573563037,0.153060544336183
3.6036036036036,3656,2186.46093612628,3033.71454887521,3004.61563784571,0.00968473659757859
4.32432432432432,3386,2024.98816458523,2809.671078362,2962.57067036806,0.0516104454605526
5.04504504504505,2793,1670.34611449691,2317.60523386446,2611.81509929093,0.112645747972873
5.76576576576577,2384,1425.74476797731,1978.22086556852,2185.53854043466,0.0948588510477167
6.48648648648649,1991,1190.71217828978,1652.11314737707,1786.56835991305,0.0752589240651994
7.20720720720721,1577,943.12059526016,1308.57982592347,1442.78219920586,0.0930163772163634
7.92792792792793,1268,758.323978940953,1052.17452078057,1166.51934224674,0.0980222250288065
8.64864864864865,1052,629.145761708109,872.939744370002,945.440505102033,0.0766846357235422
9.36936936936937,779,465.878848261043,646.406901962196,769.834214305438,0.160329730803925
10.0900900900901,703,420.427253308746,583.342813965887,628.960722729509,0.0725290262413428
10.8108108108108,690,412.652638382695,572.555535755988,518.59268310068,0.104056332481713
11.5315315315315,623,372.583469148434,516.959563443452,431.086594537822,0.199201204569341
12.2522522522523,145,86.7168587905664,120.319641571911,359.130288783954,0.664969384845473
12.972972972973,352,210.512650305375,292.086302298708,301.638365863429,0.0316672699687223
13.6936936936937,282,168.649339165102,234.000958091578,255.023293225166,0.0824330000123808
14.4144144144144,259,154.894251219012,214.915773566379,216.657260401811,0.00803798050525646
15.1351351351351,180,107.648514360703,149.362313675475,185.16923584518,0.193374034332803
15.8558558558559,179,107.050467058699,148.532523043945,158.902556434551,0.0652603307541924
16.5765765765766,147,87.9129533945742,121.979222834972,138.337083211788,0.118246387714946
17.2972972972973,134,80.1383384685234,111.191944625076,118.914136279178,0.0649392233398717
18.018018018018,126,75.3539600524922,104.553619572833,104.701109229668,0.00140867329792651
18.7387387387387,102,61.0008248043984,84.6386444161029,91.1050463768412,0.0709774289998287
19.4594594594595,91,54.4223044823555,75.5109474692679,80.5938045074289,0.0630675902350846
20.1801801801802,61,36.4808854222383,50.6172285233559,70.710952097601,0.284167062925558
20.9009009009009,61,36.4808854222383,50.6172285233556,62.7132680665264,0.192878475577756
21.6216216216216,66,39.4711219322578,54.7661816810075,55.803269063678,0.0185847065964375
22.3423423423423,45,26.9121285901758,37.3405784188689,50.5247976031687,0.260945512099843
23.0630630630631,52,31.0984597042031,43.1491128395821,45.2463261426594,0.0463510185659047
23.7837837837838,28,16.7453244561094,23.2341376828516,39.9678546821503,0.418679389533808
24.5045045045045,36,21.5297028721406,29.8724627350951,36.1049732951412,0.172621940725402
25.2252252252252,40,23.9218920801562,33.1916252612168,32.8487733682037,0.0104372814524936
25.9459459459459,36,21.5297028721406,29.8724627350951,29.5925734412662,0.00945809239552826
26.6666666666667,27,16.1472771541055,22.4043470513213,26.3363735143287,0.149300223922935
27.3873873873874,27,16.1472771541055,22.4043470513213,24.7551171287562,0.0949609757533377
28.1081081081081,21,12.558993342082,17.4256032621388,23.1738607431837,0.248049194078966
28.8288288288288,14,8.37266222805469,11.6170688414258,21.5926043576113,0.461988528617166
29.5495495495496,27,16.1472771541055,22.4043470513215,20.0113479720388,0.119582103245934
30.2702702702703,17,10.1668041340664,14.1064407360171,18.4300915864663,0.234597361069233
30.990990990991,23,13.7550879460898,19.0851845251997,16.8488352008939,0.132730203461611
31.7117117117117,22,13.1570406440859,18.2553938936692,15.2675788153214,0.195696718811072
32.4324324324324,23,13.7550879460898,19.0851845251997,13.6863224297489,0.394471350734483
33.1531531531532,21,12.558993342082,17.4256032621388,12.1050660441765,0.439529796743402
33.8738738738739,8,4.78437841603125,6.63832505224336,11.2401736425303,0.409410809533632
34.5945945945946,6,3.58828381202344,4.97874378918252,10.6140692355261,0.530929780209247
35.3153153153153,4,2.39218920801562,3.31916252612168,9.98796482852202,0.667683799141608
36.036036036036,8,4.78437841603125,6.63832505224336,9.3618604215179,0.290918177226248
36.7567567567568,6,3.58828381202344,4.97874378918252,8.73575601451377,0.430072934625151
37.4774774774775,12,7.17656762404687,9.95748757836504,8.10965160750964,0.227856393873231
38.1981981981982,10,5.98047302003906,8.2979063153042,7.48354720050552,0.108819934314529
38.9189189189189,11,6.57852032204297,9.12769694683462,6.85744279350139,0.331064249706127
39.6396396396396,10,5.98047302003906,8.29790631530412,6.23133838649727,0.33164110189954
40.3603603603604,6,3.58828381202344,4.97874378918257,5.81248824852699,0.143440196985466
41.0810810810811,2,1.19609460400781,1.65958126306084,5.60089237959056,0.703693420514864
41.8018018018018,5,2.99023651001953,4.14895315765206,5.38929651065413,0.230149399007835
42.5225225225225,1,0.598047302003906,0.829790631530428,5.1777006417177,0.839737619273573
43.2432432432432,6,3.58828381202344,4.97874378918252,4.96610477278127,0.00254505633278779
43.963963963964,4,2.39218920801562,3.31916252612165,4.75450890384483,0.301891616306042
44.6846846846847,5,2.99023651001953,4.14895315765214,4.5429130349084,0.0867196607615016
45.4054054054054,5,2.99023651001953,4.14895315765206,4.33131716597197,0.0421035914323283
46.1261261261261,4,2.39218920801562,3.31916252612168,4.11972129703554,0.194323526567179
46.8468468468469,3,1.79414190601172,2.48937189459129,3.90812542809911,0.363026612018923
47.5675675675676,4,2.39218920801562,3.31916252612165,3.69652955916268,0.102086843078434
