n,F
1,0
2,0
3,0.333333333333333
4,0.25
5,0.2
6,0.166666666666667
7,0.142857142857143
8,0.25
9,0.222222222222222
10,0.2
11,0.181818181818182
12,0.166666666666667
13,0.153846153846154
14,0.142857142857143
15,0.133333333333333
16,0.125
17,0.117647058823529
18,0.111111111111111
19,0.105263157894737
20,0.1
21,0.0952380952380952
22,0.0909090909090909
23,0.0869565217391304
24,0.0833333333333333
25,0.08
26,0.0769230769230769
27,0.0740740740740741
28,0.0714285714285714
29,0.0689655172413793
30,0.0666666666666667
31,0.0645161290322581
32,0.0625
33,0.0606060606060606
34,0.0882352941176471
35,0.0857142857142857
36,0.0833333333333333
37,0.0810810810810811
38,0.0789473684210526
39,0.0769230769230769
40,0.075
41,0.0731707317073171
42,0.0714285714285714
43,0.0697674418604651
44,0.0681818181818182
45,0.0666666666666667
46,0.0652173913043478
47,0.0638297872340425
48,0.0625
49,0.0612244897959184
50,0.06
51,0.0588235294117647
52,0.0576923076923077
53,0.0566037735849057
54,0.0555555555555556
55,0.0545454545454545
56,0.0714285714285714
57,0.0701754385964912
58,0.0689655172413793
59,0.0677966101694915
60,0.0666666666666667
61,0.0655737704918033
62,0.0645161290322581
63,0.0634920634920635
64,0.0625
65,0.0615384615384615
66,0.0606060606060606
67,0.0597014925373134
68,0.0588235294117647
69,0.0579710144927536
70,0.0714285714285714
71,0.0704225352112676
72,0.0694444444444444
73,0.0821917808219178
74,0.0810810810810811
75,0.08
76,0.0789473684210526
77,0.0779220779220779
78,0.0769230769230769
79,0.0759493670886076
80,0.075
81,0.0740740740740741
82,0.0731707317073171
83,0.072289156626506
84,0.0714285714285714
85,0.0705882352941176
86,0.0697674418604651
87,0.0689655172413793
88,0.0681818181818182
89,0.0674157303370786
90,0.0666666666666667
91,0.0659340659340659
92,0.0652173913043478
93,0.0645161290322581
94,0.0638297872340425
95,0.0736842105263158
96,0.0729166666666667
97,0.0721649484536082
98,0.0714285714285714
99,0.0707070707070707
100,0.07
101,0.0693069306930693
102,0.0686274509803922
103,0.0679611650485437
104,0.0673076923076923
105,0.0666666666666667
106,0.0660377358490566
107,0.0654205607476635
108,0.0648148148148148
109,0.0642201834862385
110,0.0636363636363636
111,0.0630630630630631
