n,F
1,1
2,1
3,1
4,0.75
5,0.8
6,0.833333333333333
7,0.714285714285714
8,0.75
9,0.777777777777778
10,0.8
11,0.818181818181818
12,0.833333333333333
13,0.769230769230769
14,0.714285714285714
15,0.733333333333333
16,0.75
17,0.764705882352941
18,0.722222222222222
19,0.684210526315789
20,0.7
21,0.666666666666667
22,0.636363636363636
23,0.608695652173913
24,0.583333333333333
25,0.56
26,0.538461538461538
27,0.555555555555556
28,0.535714285714286
29,0.517241379310345
30,0.5
31,0.483870967741935
32,0.46875
33,0.484848484848485
34,0.5
35,0.485714285714286
36,0.472222222222222
37,0.459459459459459
38,0.447368421052632
39,0.435897435897436
40,0.425
41,0.439024390243902
42,0.428571428571429
43,0.418604651162791
44,0.409090909090909
45,0.4
46,0.41304347826087
47,0.404255319148936
48,0.416666666666667
49,0.408163265306122
50,0.4
51,0.392156862745098
52,0.384615384615385
53,0.377358490566038
54,0.37037037037037
55,0.363636363636364
56,0.375
57,0.385964912280702
58,0.379310344827586
59,0.389830508474576
60,0.383333333333333
61,0.39344262295082
62,0.387096774193548
63,0.396825396825397
64,0.390625
65,0.384615384615385
66,0.393939393939394
67,0.388059701492537
68,0.397058823529412
69,0.391304347826087
70,0.4
71,0.394366197183099
72,0.388888888888889
73,0.397260273972603
74,0.405405405405405
75,0.4
76,0.407894736842105
77,0.415584415584416
78,0.41025641025641
79,0.417721518987342
80,0.425
81,0.419753086419753
82,0.414634146341463
83,0.421686746987952
84,0.428571428571429
85,0.435294117647059
86,0.430232558139535
87,0.436781609195402
88,0.431818181818182
89,0.426966292134831
90,0.422222222222222
91,0.417582417582418
92,0.423913043478261
93,0.43010752688172
94,0.425531914893617
95,0.431578947368421
96,0.427083333333333
97,0.422680412371134
98,0.418367346938776
99,0.414141414141414
100,0.41
101,0.405940594059406
102,0.401960784313726
103,0.407766990291262
104,0.403846153846154
105,0.4
106,0.39622641509434
107,0.392523364485981
108,0.388888888888889
109,0.394495412844037
110,0.390909090909091
111,0.396396396396396
112,0.401785714285714
113,0.407079646017699
114,0.412280701754386
115,0.408695652173913
116,0.405172413793103
117,0.401709401709402
118,0.406779661016949
119,0.403361344537815
120,0.4
121,0.396694214876033
122,0.401639344262295
123,0.398373983739837
124,0.395161290322581
125,0.392
126,0.388888888888889
127,0.385826771653543
128,0.3828125
129,0.37984496124031
130,0.384615384615385
131,0.381679389312977
132,0.378787878787879
133,0.37593984962406
134,0.373134328358209
135,0.37037037037037
136,0.367647058823529
137,0.364963503649635
138,0.369565217391304
139,0.366906474820144
140,0.364285714285714
141,0.361702127659574
142,0.359154929577465
143,0.356643356643357
144,0.361111111111111
145,0.358620689655172
146,0.356164383561644
147,0.360544217687075
148,0.364864864864865
149,0.36241610738255
150,0.36
151,0.357615894039735
152,0.355263157894737
153,0.359477124183007
154,0.363636363636364
155,0.367741935483871
156,0.365384615384615
157,0.363057324840764
158,0.360759493670886
159,0.364779874213836
160,0.36875
161,0.366459627329193
162,0.364197530864198
163,0.361963190184049
164,0.359756097560976
165,0.357575757575758
166,0.355421686746988
167,0.353293413173653
168,0.357142857142857
169,0.355029585798817
170,0.352941176470588
171,0.35672514619883
172,0.354651162790698
173,0.352601156069364
174,0.35632183908046
175,0.36
176,0.357954545454545
177,0.355932203389831
178,0.353932584269663
179,0.357541899441341
180,0.361111111111111
181,0.359116022099448
182,0.357142857142857
183,0.355191256830601
184,0.358695652173913
185,0.362162162162162
186,0.360215053763441
187,0.358288770053476
188,0.361702127659574
189,0.35978835978836
190,0.357894736842105
191,0.356020942408377
192,0.354166666666667
193,0.357512953367876
194,0.355670103092784
195,0.358974358974359
196,0.362244897959184
197,0.360406091370558
198,0.363636363636364
199,0.361809045226131
200,0.36
201,0.36318407960199
202,0.361386138613861
203,0.359605911330049
204,0.362745098039216
205,0.360975609756098
206,0.359223300970874
207,0.36231884057971
208,0.365384615384615
209,0.363636363636364
210,0.361904761904762
211,0.360189573459716
212,0.358490566037736
213,0.356807511737089
214,0.355140186915888
215,0.358139534883721
216,0.361111111111111
217,0.36405529953917
218,0.362385321100917
219,0.360730593607306
220,0.363636363636364
221,0.361990950226244
222,0.364864864864865
223,0.36322869955157
224,0.366071428571429
225,0.364444444444444
226,0.367256637168142
227,0.365638766519824
228,0.364035087719298
229,0.362445414847162
230,0.365217391304348
231,0.363636363636364
232,0.366379310344828
233,0.36480686695279
234,0.363247863247863
235,0.365957446808511
236,0.364406779661017
237,0.362869198312236
238,0.361344537815126
239,0.359832635983264
240,0.358333333333333
241,0.356846473029046
242,0.359504132231405
243,0.358024691358025
244,0.360655737704918
245,0.359183673469388
246,0.357723577235772
247,0.356275303643725
248,0.354838709677419
249,0.357429718875502
250,0.356
251,0.354581673306773
252,0.353174603174603
253,0.355731225296443
