n,F
1,1
2,1
3,1
4,0.75
5,0.8
6,0.833333333333333
7,0.714285714285714
8,0.625
9,0.666666666666667
10,0.7
11,0.727272727272727
12,0.75
13,0.692307692307692
14,0.642857142857143
15,0.6
16,0.625
17,0.647058823529412
18,0.611111111111111
19,0.578947368421053
20,0.6
21,0.571428571428571
22,0.545454545454545
23,0.521739130434783
24,0.5
25,0.48
26,0.461538461538462
27,0.444444444444444
28,0.428571428571429
29,0.413793103448276
30,0.4
31,0.387096774193548
32,0.375
33,0.393939393939394
34,0.382352941176471
35,0.371428571428571
36,0.361111111111111
37,0.351351351351351
38,0.342105263157895
39,0.333333333333333
40,0.325
41,0.317073170731707
42,0.30952380952381
43,0.302325581395349
44,0.295454545454545
45,0.288888888888889
46,0.304347826086957
47,0.297872340425532
48,0.291666666666667
49,0.285714285714286
50,0.28
51,0.274509803921569
52,0.269230769230769
53,0.264150943396226
54,0.259259259259259
55,0.254545454545455
56,0.267857142857143
57,0.280701754385965
58,0.275862068965517
59,0.288135593220339
60,0.283333333333333
61,0.295081967213115
62,0.290322580645161
63,0.285714285714286
64,0.28125
65,0.276923076923077
66,0.287878787878788
67,0.283582089552239
68,0.279411764705882
69,0.27536231884058
70,0.271428571428571
71,0.267605633802817
72,0.263888888888889
73,0.273972602739726
74,0.283783783783784
75,0.28
76,0.289473684210526
77,0.298701298701299
78,0.294871794871795
79,0.30379746835443
80,0.3125
81,0.308641975308642
82,0.304878048780488
83,0.301204819277108
84,0.30952380952381
85,0.317647058823529
86,0.313953488372093
87,0.32183908045977
88,0.318181818181818
89,0.314606741573034
90,0.311111111111111
91,0.307692307692308
92,0.304347826086957
93,0.301075268817204
94,0.297872340425532
95,0.305263157894737
96,0.302083333333333
97,0.298969072164948
98,0.295918367346939
99,0.292929292929293
100,0.29
101,0.287128712871287
102,0.284313725490196
103,0.29126213592233
104,0.288461538461538
105,0.285714285714286
106,0.283018867924528
107,0.280373831775701
108,0.277777777777778
109,0.275229357798165
110,0.272727272727273
111,0.279279279279279
112,0.276785714285714
113,0.283185840707965
114,0.289473684210526
115,0.28695652173913
116,0.28448275862069
117,0.282051282051282
118,0.288135593220339
119,0.285714285714286
120,0.283333333333333
121,0.28099173553719
122,0.286885245901639
123,0.284552845528455
124,0.282258064516129
125,0.28
126,0.277777777777778
127,0.275590551181102
128,0.2734375
129,0.271317829457364
130,0.276923076923077
131,0.282442748091603
132,0.28030303030303
133,0.278195488721804
134,0.276119402985075
135,0.274074074074074
136,0.272058823529412
137,0.27007299270073
138,0.27536231884058
139,0.273381294964029
140,0.271428571428571
141,0.269503546099291
142,0.267605633802817
143,0.265734265734266
144,0.263888888888889
145,0.262068965517241
146,0.26027397260274
147,0.26530612244898
148,0.263513513513513
149,0.261744966442953
150,0.26
151,0.258278145695364
152,0.263157894736842
153,0.26797385620915
154,0.266233766233766
155,0.264516129032258
156,0.262820512820513
157,0.261146496815287
158,0.259493670886076
159,0.257861635220126
160,0.25625
161,0.254658385093168
162,0.253086419753086
163,0.251533742331288
164,0.25
165,0.248484848484848
166,0.246987951807229
167,0.245508982035928
168,0.25
169,0.248520710059172
170,0.247058823529412
171,0.251461988304094
172,0.25
173,0.248554913294798
174,0.252873563218391
175,0.257142857142857
176,0.255681818181818
177,0.254237288135593
178,0.252808988764045
179,0.251396648044693
180,0.25
181,0.248618784530387
182,0.247252747252747
183,0.245901639344262
184,0.25
185,0.248648648648649
186,0.247311827956989
187,0.245989304812834
188,0.25
189,0.248677248677249
190,0.247368421052632
191,0.246073298429319
192,0.244791666666667
193,0.248704663212435
194,0.247422680412371
195,0.251282051282051
196,0.255102040816327
197,0.253807106598985
198,0.257575757575758
199,0.256281407035176
200,0.255
201,0.258706467661692
202,0.257425742574257
203,0.25615763546798
204,0.259803921568627
205,0.258536585365854
206,0.257281553398058
207,0.256038647342995
208,0.259615384615385
209,0.258373205741627
210,0.257142857142857
211,0.255924170616114
212,0.254716981132075
213,0.253521126760563
214,0.252336448598131
215,0.255813953488372
216,0.259259259259259
217,0.262672811059908
218,0.261467889908257
219,0.26027397260274
220,0.263636363636364
221,0.262443438914027
222,0.261261261261261
223,0.260089686098655
224,0.263392857142857
225,0.262222222222222
226,0.265486725663717
227,0.26431718061674
228,0.263157894736842
229,0.262008733624454
230,0.265217391304348
231,0.264069264069264
232,0.262931034482759
233,0.261802575107296
234,0.260683760683761
235,0.263829787234043
236,0.26271186440678
237,0.261603375527426
238,0.260504201680672
239,0.259414225941423
240,0.258333333333333
241,0.257261410788382
242,0.260330578512397
243,0.259259259259259
244,0.262295081967213
245,0.261224489795918
246,0.260162601626016
247,0.259109311740891
248,0.258064516129032
249,0.257028112449799
250,0.256
251,0.254980079681275
252,0.253968253968254
253,0.256916996047431
254,0.255905511811024
