n,F
1,1
2,0.5
3,0.333333333333333
4,0.25
5,0.4
6,0.333333333333333
7,0.285714285714286
8,0.25
9,0.333333333333333
10,0.4
11,0.454545454545455
12,0.5
13,0.461538461538462
14,0.428571428571429
15,0.4
16,0.4375
17,0.470588235294118
18,0.444444444444444
19,0.421052631578947
20,0.45
21,0.428571428571429
22,0.409090909090909
23,0.391304347826087
24,0.375
25,0.36
26,0.346153846153846
27,0.333333333333333
28,0.321428571428571
29,0.310344827586207
30,0.3
31,0.290322580645161
32,0.28125
33,0.303030303030303
34,0.294117647058824
35,0.285714285714286
36,0.277777777777778
37,0.27027027027027
38,0.263157894736842
39,0.256410256410256
40,0.25
41,0.24390243902439
42,0.238095238095238
43,0.232558139534884
44,0.227272727272727
45,0.222222222222222
46,0.217391304347826
47,0.212765957446809
48,0.208333333333333
49,0.204081632653061
50,0.2
51,0.196078431372549
52,0.192307692307692
53,0.188679245283019
54,0.185185185185185
55,0.181818181818182
56,0.178571428571429
57,0.175438596491228
58,0.172413793103448
59,0.186440677966102
60,0.183333333333333
61,0.180327868852459
62,0.17741935483871
63,0.19047619047619
64,0.1875
65,0.184615384615385
66,0.196969696969697
67,0.194029850746269
68,0.191176470588235
69,0.188405797101449
70,0.185714285714286
71,0.183098591549296
72,0.180555555555556
73,0.178082191780822
74,0.175675675675676
75,0.173333333333333
76,0.184210526315789
77,0.194805194805195
78,0.192307692307692
79,0.20253164556962
80,0.2
81,0.197530864197531
82,0.195121951219512
83,0.192771084337349
84,0.202380952380952
85,0.211764705882353
86,0.209302325581395
87,0.218390804597701
88,0.215909090909091
89,0.213483146067416
90,0.211111111111111
91,0.208791208791209
92,0.206521739130435
93,0.204301075268817
94,0.202127659574468
95,0.2
96,0.197916666666667
97,0.195876288659794
98,0.193877551020408
99,0.191919191919192
100,0.19
101,0.188118811881188
102,0.186274509803922
103,0.194174757281553
104,0.192307692307692
105,0.19047619047619
106,0.188679245283019
107,0.186915887850467
108,0.185185185185185
109,0.18348623853211
110,0.181818181818182
111,0.189189189189189
112,0.1875
113,0.194690265486726
114,0.192982456140351
115,0.191304347826087
116,0.189655172413793
117,0.188034188034188
118,0.186440677966102
119,0.184873949579832
120,0.183333333333333
121,0.181818181818182
122,0.188524590163934
123,0.186991869918699
124,0.185483870967742
125,0.184
126,0.182539682539683
127,0.181102362204724
128,0.1796875
129,0.178294573643411
130,0.184615384615385
131,0.183206106870229
132,0.181818181818182
133,0.180451127819549
134,0.17910447761194
135,0.177777777777778
136,0.176470588235294
137,0.175182481751825
138,0.181159420289855
139,0.179856115107914
140,0.178571428571429
141,0.177304964539007
142,0.176056338028169
143,0.174825174825175
144,0.180555555555556
145,0.179310344827586
146,0.178082191780822
147,0.183673469387755
148,0.182432432432432
149,0.181208053691275
150,0.18
151,0.178807947019868
152,0.177631578947368
153,0.176470588235294
154,0.175324675324675
155,0.174193548387097
156,0.173076923076923
157,0.171974522292994
158,0.170886075949367
159,0.169811320754717
160,0.16875
161,0.167701863354037
162,0.166666666666667
163,0.165644171779141
164,0.164634146341463
165,0.163636363636364
166,0.162650602409639
167,0.161676646706587
168,0.160714285714286
169,0.159763313609467
170,0.158823529411765
171,0.16374269005848
172,0.162790697674419
173,0.161849710982659
174,0.166666666666667
175,0.171428571428571
176,0.170454545454545
177,0.169491525423729
178,0.168539325842697
179,0.167597765363128
180,0.166666666666667
181,0.165745856353591
182,0.164835164835165
183,0.163934426229508
184,0.168478260869565
185,0.167567567567568
186,0.166666666666667
187,0.165775401069519
188,0.164893617021277
189,0.164021164021164
190,0.163157894736842
191,0.162303664921466
192,0.161458333333333
193,0.16580310880829
194,0.164948453608247
195,0.164102564102564
196,0.168367346938776
197,0.16751269035533
198,0.171717171717172
199,0.170854271356784
200,0.17
201,0.169154228855721
202,0.168316831683168
203,0.167487684729064
204,0.17156862745098
205,0.170731707317073
206,0.169902912621359
207,0.169082125603865
208,0.173076923076923
209,0.172248803827751
210,0.171428571428571
211,0.170616113744076
212,0.169811320754717
213,0.169014084507042
214,0.168224299065421
215,0.172093023255814
216,0.175925925925926
217,0.179723502304147
218,0.178899082568807
219,0.178082191780822
220,0.181818181818182
221,0.180995475113122
222,0.184684684684685
223,0.183856502242152
224,0.1875
225,0.186666666666667
226,0.190265486725664
227,0.18942731277533
228,0.18859649122807
229,0.187772925764192
230,0.191304347826087
231,0.19047619047619
232,0.189655172413793
233,0.188841201716738
234,0.188034188034188
235,0.187234042553191
236,0.186440677966102
237,0.185654008438819
238,0.184873949579832
239,0.184100418410042
240,0.183333333333333
241,0.182572614107884
242,0.18595041322314
243,0.185185185185185
244,0.184426229508197
245,0.183673469387755
246,0.182926829268293
247,0.182186234817814
248,0.181451612903226
249,0.180722891566265
250,0.18
251,0.179282868525896
252,0.178571428571429
253,0.177865612648221
254,0.177165354330709
255,0.176470588235294
256,0.17578125
257,0.175097276264591
258,0.178294573643411
259,0.177606177606178
260,0.176923076923077
261,0.176245210727969
262,0.175572519083969
263,0.174904942965779
264,0.178030303030303
265,0.177358490566038
266,0.176691729323308
267,0.176029962546816
268,0.175373134328358
269,0.174721189591078
270,0.174074074074074
271,0.173431734317343
272,0.172794117647059
273,0.172161172161172
274,0.171532846715328
275,0.170909090909091
276,0.170289855072464
277,0.169675090252708
278,0.172661870503597
279,0.172043010752688
280,0.171428571428571
281,0.170818505338078
282,0.170212765957447
283,0.169611307420495
284,0.169014084507042
285,0.168421052631579
286,0.171328671328671
287,0.170731707317073
288,0.170138888888889
289,0.169550173010381
290,0.172413793103448
291,0.175257731958763
292,0.174657534246575
293,0.174061433447099
294,0.173469387755102
295,0.172881355932203
296,0.172297297297297
297,0.171717171717172
298,0.171140939597315
299,0.17056856187291
300,0.17
301,0.169435215946844
302,0.16887417218543
303,0.168316831683168
304,0.171052631578947
305,0.170491803278689
306,0.173202614379085
307,0.172638436482085
308,0.172077922077922
309,0.174757281553398
310,0.17741935483871
311,0.176848874598071
312,0.176282051282051
313,0.175718849840256
314,0.17515923566879
315,0.177777777777778
316,0.177215189873418
317,0.176656151419558
318,0.176100628930818
319,0.175548589341693
320,0.175
321,0.174454828660436
322,0.173913043478261
323,0.176470588235294
324,0.175925925925926
325,0.175384615384615
326,0.174846625766871
327,0.174311926605505
328,0.173780487804878
329,0.173252279635258
330,0.172727272727273
331,0.172205438066465
332,0.174698795180723
333,0.174174174174174
334,0.173652694610778
335,0.173134328358209
336,0.172619047619048
337,0.172106824925816
338,0.171597633136095
339,0.174041297935103
340,0.173529411764706
341,0.175953079178886
342,0.178362573099415
343,0.180758017492711
344,0.180232558139535
345,0.179710144927536
346,0.179190751445087
347,0.178674351585014
348,0.17816091954023
349,0.177650429799427
350,0.177142857142857
351,0.179487179487179
352,0.178977272727273
353,0.178470254957507
354,0.177966101694915
355,0.177464788732394
356,0.176966292134831
357,0.179271708683473
358,0.17877094972067
359,0.178272980501393
360,0.177777777777778
361,0.177285318559557
362,0.176795580110497
363,0.176308539944904
364,0.175824175824176
365,0.175342465753425
366,0.174863387978142
367,0.174386920980926
368,0.173913043478261
369,0.173441734417344
370,0.172972972972973
371,0.175202156334232
372,0.17741935483871
373,0.179624664879357
374,0.179144385026738
375,0.178666666666667
376,0.178191489361702
377,0.177718832891247
378,0.17989417989418
379,0.182058047493404
380,0.181578947368421
381,0.181102362204724
382,0.180628272251309
383,0.180156657963446
384,0.1796875
385,0.179220779220779
386,0.181347150259067
387,0.180878552971576
388,0.180412371134021
389,0.179948586118252
390,0.179487179487179
391,0.179028132992327
392,0.181122448979592
393,0.180661577608142
394,0.180203045685279
395,0.179746835443038
396,0.179292929292929
397,0.178841309823678
398,0.180904522613065
399,0.180451127819549
400,0.1825
401,0.182044887780549
402,0.181592039800995
403,0.181141439205955
404,0.180693069306931
405,0.180246913580247
406,0.179802955665025
407,0.181818181818182
408,0.181372549019608
409,0.180929095354523
410,0.180487804878049
411,0.180048661800487
412,0.179611650485437
413,0.179176755447942
414,0.178743961352657
415,0.178313253012048
416,0.177884615384615
417,0.177458033573141
418,0.177033492822967
419,0.176610978520286
420,0.176190476190476
421,0.175771971496437
422,0.175355450236967
423,0.174940898345154
424,0.174528301886792
425,0.174117647058824
426,0.173708920187793
427,0.173302107728337
428,0.172897196261682
429,0.172494172494172
430,0.174418604651163
431,0.174013921113689
432,0.173611111111111
433,0.173210161662818
434,0.172811059907834
435,0.172413793103448
436,0.172018348623853
437,0.17162471395881
438,0.171232876712329
439,0.170842824601367
440,0.170454545454545
441,0.170068027210884
442,0.169683257918552
443,0.169300225733634
444,0.168918918918919
445,0.168539325842697
446,0.168161434977578
447,0.167785234899329
448,0.167410714285714
449,0.167037861915367
450,0.166666666666667
451,0.16629711751663
452,0.165929203539823
453,0.165562913907285
454,0.167400881057269
455,0.167032967032967
456,0.166666666666667
457,0.166301969365427
458,0.165938864628821
459,0.16557734204793
460,0.165217391304348
461,0.164859002169197
462,0.164502164502165
463,0.16414686825054
464,0.163793103448276
465,0.163440860215054
466,0.163090128755365
467,0.162740899357602
468,0.164529914529915
469,0.164179104477612
470,0.163829787234043
471,0.16348195329087
472,0.163135593220339
473,0.162790697674419
474,0.162447257383966
475,0.162105263157895
476,0.161764705882353
477,0.161425576519916
478,0.161087866108787
479,0.160751565762004
480,0.1625
481,0.162162162162162
482,0.161825726141079
483,0.161490683229814
484,0.161157024793388
485,0.160824742268041
486,0.160493827160494
487,0.162217659137577
488,0.161885245901639
489,0.161554192229039
490,0.161224489795918
491,0.160896130346232
492,0.160569105691057
493,0.160243407707911
494,0.159919028340081
495,0.15959595959596
496,0.159274193548387
497,0.160965794768612
498,0.160642570281124
499,0.160320641282565
500,0.16
501,0.159680638722555
502,0.159362549800797
503,0.159045725646123
504,0.158730158730159
505,0.158415841584158
506,0.158102766798419
507,0.157790927021696
508,0.15748031496063
509,0.157170923379175
510,0.158823529411765
511,0.158512720156556
512,0.158203125
513,0.157894736842105
514,0.157587548638132
515,0.157281553398058
516,0.158914728682171
517,0.158607350096712
518,0.158301158301158
519,0.157996146435453
520,0.157692307692308
521,0.157389635316699
522,0.157088122605364
523,0.158699808795411
524,0.158396946564885
525,0.158095238095238
526,0.159695817490494
527,0.161290322580645
528,0.160984848484848
529,0.162570888468809
530,0.162264150943396
531,0.16195856873823
532,0.161654135338346
533,0.161350844277674
534,0.161048689138577
535,0.162616822429907
536,0.162313432835821
537,0.162011173184358
538,0.161710037174721
539,0.161410018552876
540,0.161111111111111
541,0.160813308687616
542,0.160516605166052
543,0.160220994475138
544,0.159926470588235
545,0.161467889908257
546,0.163003663003663
547,0.164533820840951
548,0.164233576642336
549,0.163934426229508
550,0.163636363636364
551,0.163339382940109
552,0.16304347826087
553,0.162748643761302
554,0.162454873646209
555,0.162162162162162
556,0.161870503597122
557,0.161579892280072
558,0.161290322580645
559,0.161001788908766
560,0.1625
561,0.162210338680927
562,0.161921708185053
563,0.161634103019538
564,0.161347517730496
565,0.161061946902655
566,0.160777385159011
567,0.160493827160494
568,0.161971830985915
569,0.161687170474517
570,0.163157894736842
571,0.162872154115587
572,0.162587412587413
573,0.164048865619546
574,0.163763066202091
575,0.165217391304348
576,0.164930555555556
577,0.166377816291161
578,0.166089965397924
579,0.16580310880829
580,0.16551724137931
581,0.165232358003442
582,0.166666666666667
583,0.166380789022298
584,0.166095890410959
585,0.165811965811966
586,0.165529010238908
587,0.165247018739353
588,0.164965986394558
589,0.166383701188455
590,0.166101694915254
591,0.165820642978003
592,0.165540540540541
593,0.165261382799325
594,0.164983164983165
595,0.164705882352941
596,0.166107382550336
597,0.165829145728643
598,0.165551839464883
599,0.165275459098498
600,0.165
601,0.164725457570715
602,0.164451827242525
603,0.165837479270315
604,0.165562913907285
605,0.165289256198347
606,0.165016501650165
607,0.164744645799012
608,0.166118421052632
609,0.165845648604269
610,0.165573770491803
611,0.165302782324059
612,0.165032679738562
613,0.164763458401305
614,0.164495114006515
615,0.164227642276423
616,0.163961038961039
617,0.163695299837925
618,0.163430420711974
619,0.163166397415186
620,0.164516129032258
621,0.165861513687601
622,0.165594855305466
623,0.1669341894061
624,0.168269230769231
625,0.168
626,0.167731629392971
627,0.167464114832536
628,0.167197452229299
629,0.166931637519873
630,0.166666666666667
631,0.166402535657686
632,0.166139240506329
633,0.165876777251185
634,0.165615141955836
635,0.165354330708661
636,0.165094339622642
637,0.166405023547881
638,0.166144200626959
639,0.167449139280125
640,0.16875
641,0.168486739469579
642,0.168224299065421
643,0.16796267496112
644,0.167701863354037
645,0.168992248062016
646,0.170278637770898
647,0.170015455950541
648,0.171296296296296
649,0.171032357473035
650,0.172307692307692
651,0.172043010752688
652,0.171779141104294
653,0.171516079632466
654,0.172782874617737
655,0.174045801526718
656,0.173780487804878
657,0.17351598173516
658,0.174772036474164
659,0.174506828528073
660,0.174242424242424
661,0.173978819969743
662,0.173716012084592
663,0.173453996983409
664,0.173192771084337
665,0.172932330827068
666,0.172672672672673
667,0.172413793103448
668,0.172155688622754
669,0.171898355754858
670,0.171641791044776
671,0.171385991058122
672,0.171130952380952
673,0.170876671619614
674,0.170623145400593
675,0.17037037037037
676,0.170118343195266
677,0.1698670605613
678,0.169616519174041
679,0.169366715758468
680,0.169117647058824
681,0.168869309838473
682,0.168621700879765
683,0.168374816983895
684,0.16812865497076
685,0.167883211678832
686,0.167638483965015
687,0.167394468704512
688,0.167151162790698
689,0.168359941944848
690,0.168115942028985
691,0.167872648335745
692,0.167630057803468
693,0.167388167388167
694,0.167146974063401
695,0.166906474820144
696,0.166666666666667
697,0.166427546628407
698,0.167621776504298
699,0.167381974248927
700,0.167142857142857
701,0.166904422253923
702,0.166666666666667
703,0.166429587482219
704,0.167613636363636
705,0.167375886524823
706,0.1671388101983
707,0.166902404526167
708,0.166666666666667
709,0.166431593794076
710,0.166197183098592
711,0.165963431786217
712,0.165730337078652
713,0.165497896213184
714,0.166666666666667
