n,F
1,0
2,0
3,0
4,0
5,0
6,0.166666666666667
7,0.142857142857143
8,0.125
9,0.111111111111111
10,0.2
11,0.272727272727273
12,0.25
13,0.230769230769231
14,0.214285714285714
15,0.2
16,0.25
17,0.294117647058824
18,0.277777777777778
19,0.263157894736842
20,0.25
21,0.238095238095238
22,0.227272727272727
23,0.217391304347826
24,0.208333333333333
25,0.2
26,0.192307692307692
27,0.185185185185185
28,0.178571428571429
29,0.172413793103448
30,0.166666666666667
31,0.161290322580645
32,0.15625
33,0.151515151515152
34,0.147058823529412
35,0.142857142857143
36,0.138888888888889
37,0.135135135135135
38,0.131578947368421
39,0.128205128205128
40,0.125
41,0.121951219512195
42,0.119047619047619
43,0.116279069767442
44,0.113636363636364
45,0.111111111111111
46,0.108695652173913
47,0.106382978723404
48,0.104166666666667
49,0.102040816326531
50,0.1
51,0.0980392156862745
52,0.0961538461538462
53,0.0943396226415094
54,0.0925925925925926
55,0.0909090909090909
56,0.0892857142857143
57,0.087719298245614
58,0.0862068965517241
59,0.101694915254237
60,0.1
61,0.0983606557377049
62,0.0967741935483871
63,0.0952380952380952
64,0.09375
65,0.0923076923076923
66,0.0909090909090909
67,0.0895522388059701
68,0.0882352941176471
69,0.0869565217391304
70,0.0857142857142857
71,0.0845070422535211
72,0.0833333333333333
73,0.0821917808219178
74,0.0810810810810811
75,0.08
76,0.0921052631578947
77,0.0909090909090909
78,0.0897435897435897
79,0.0886075949367089
80,0.0875
81,0.0864197530864197
82,0.0853658536585366
83,0.0843373493975904
84,0.0833333333333333
85,0.0941176470588235
86,0.0930232558139535
87,0.0919540229885057
88,0.0909090909090909
89,0.0898876404494382
90,0.0888888888888889
91,0.0879120879120879
92,0.0869565217391304
93,0.0860215053763441
94,0.0851063829787234
95,0.0842105263157895
96,0.0833333333333333
97,0.0824742268041237
98,0.0816326530612245
99,0.0808080808080808
100,0.08
101,0.0792079207920792
102,0.0784313725490196
103,0.087378640776699
104,0.0865384615384615
105,0.0857142857142857
106,0.0849056603773585
107,0.0841121495327103
108,0.0833333333333333
109,0.0825688073394495
110,0.0818181818181818
111,0.0810810810810811
112,0.0803571428571429
113,0.079646017699115
114,0.0789473684210526
115,0.0782608695652174
