n,F
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0.025
41,0.024390243902439
42,0.0238095238095238
43,0.0232558139534884
44,0.0227272727272727
45,0.0444444444444444
46,0.0434782608695652
47,0.0425531914893617
48,0.0416666666666667
49,0.0612244897959184
50,0.06
51,0.0588235294117647
52,0.0576923076923077
53,0.0566037735849057
54,0.0555555555555556
55,0.0545454545454545
56,0.0535714285714286
57,0.0526315789473684
58,0.0517241379310345
59,0.0508474576271186
60,0.05
61,0.0491803278688525
62,0.0483870967741935
63,0.0476190476190476
64,0.046875
65,0.0461538461538462
66,0.0454545454545455
67,0.0447761194029851
68,0.0441176470588235
69,0.0434782608695652
70,0.0428571428571429
71,0.0422535211267606
72,0.0555555555555556
73,0.0547945205479452
74,0.0540540540540541
75,0.0533333333333333
76,0.0526315789473684
77,0.051948051948052
78,0.0641025641025641
79,0.0632911392405063
80,0.0625
81,0.0617283950617284
82,0.0609756097560976
83,0.0602409638554217
84,0.0595238095238095
85,0.0588235294117647
86,0.0581395348837209
87,0.0574712643678161
88,0.0568181818181818
89,0.0561797752808989
90,0.0555555555555556
91,0.0549450549450549
92,0.0543478260869565
93,0.0537634408602151
94,0.0531914893617021
95,0.0526315789473684
96,0.0520833333333333
97,0.0515463917525773
98,0.0510204081632653
99,0.0606060606060606
100,0.06
101,0.0594059405940594
102,0.0588235294117647
103,0.058252427184466
104,0.0576923076923077
105,0.0571428571428571
106,0.0566037735849057
107,0.0560747663551402
108,0.0555555555555556
109,0.055045871559633
110,0.0545454545454545
111,0.0540540540540541
112,0.0535714285714286
113,0.0530973451327434
114,0.0526315789473684
115,0.0521739130434783
116,0.0517241379310345
117,0.0512820512820513
118,0.0508474576271186
119,0.0504201680672269
120,0.0583333333333333
121,0.0578512396694215
122,0.0573770491803279
123,0.0569105691056911
124,0.0564516129032258
125,0.056
126,0.0555555555555556
127,0.0551181102362205
128,0.0546875
129,0.0542635658914729
130,0.0538461538461538
