n,F
1,0
2,0.5
3,0.333333333333333
4,0.25
5,0.2
6,0.333333333333333
7,0.285714285714286
8,0.25
9,0.222222222222222
10,0.2
11,0.181818181818182
12,0.166666666666667
13,0.153846153846154
14,0.142857142857143
15,0.133333333333333
16,0.125
17,0.176470588235294
18,0.222222222222222
19,0.210526315789474
20,0.2
21,0.19047619047619
22,0.181818181818182
23,0.173913043478261
24,0.166666666666667
25,0.16
26,0.153846153846154
27,0.148148148148148
28,0.142857142857143
29,0.137931034482759
30,0.133333333333333
31,0.129032258064516
32,0.125
33,0.121212121212121
34,0.117647058823529
35,0.142857142857143
36,0.138888888888889
37,0.135135135135135
38,0.131578947368421
39,0.153846153846154
40,0.15
41,0.146341463414634
42,0.142857142857143
43,0.13953488372093
44,0.136363636363636
45,0.133333333333333
46,0.152173913043478
47,0.148936170212766
48,0.145833333333333
49,0.142857142857143
50,0.16
51,0.156862745098039
52,0.153846153846154
53,0.150943396226415
54,0.148148148148148
55,0.145454545454545
56,0.160714285714286
57,0.175438596491228
58,0.172413793103448
59,0.169491525423729
60,0.166666666666667
61,0.180327868852459
62,0.193548387096774
63,0.19047619047619
64,0.1875
65,0.184615384615385
66,0.181818181818182
67,0.194029850746269
68,0.205882352941176
69,0.202898550724638
70,0.2
71,0.197183098591549
72,0.194444444444444
73,0.205479452054795
74,0.216216216216216
75,0.226666666666667
76,0.223684210526316
77,0.220779220779221
78,0.217948717948718
79,0.215189873417722
80,0.225
81,0.222222222222222
82,0.219512195121951
83,0.228915662650602
84,0.226190476190476
85,0.223529411764706
86,0.22093023255814
87,0.218390804597701
88,0.227272727272727
89,0.224719101123595
90,0.222222222222222
91,0.21978021978022
92,0.217391304347826
93,0.21505376344086
94,0.212765957446809
95,0.210526315789474
96,0.208333333333333
97,0.206185567010309
98,0.204081632653061
99,0.202020202020202
100,0.2
101,0.198019801980198
102,0.196078431372549
103,0.203883495145631
104,0.201923076923077
105,0.2
106,0.207547169811321
107,0.205607476635514
108,0.203703703703704
109,0.211009174311927
110,0.209090909090909
111,0.207207207207207
112,0.205357142857143
113,0.20353982300885
114,0.210526315789474
115,0.208695652173913
116,0.206896551724138
117,0.205128205128205
118,0.211864406779661
119,0.210084033613445
120,0.208333333333333
121,0.214876033057851
122,0.213114754098361
123,0.211382113821138
124,0.209677419354839
125,0.208
126,0.206349206349206
127,0.204724409448819
128,0.203125
129,0.201550387596899
130,0.207692307692308
131,0.213740458015267
132,0.212121212121212
133,0.218045112781955
134,0.216417910447761
135,0.214814814814815
136,0.220588235294118
137,0.218978102189781
138,0.217391304347826
139,0.215827338129496
140,0.214285714285714
141,0.219858156028369
142,0.21830985915493
143,0.216783216783217
144,0.215277777777778
145,0.213793103448276
146,0.219178082191781
147,0.217687074829932
148,0.216216216216216
149,0.214765100671141
150,0.213333333333333
151,0.218543046357616
152,0.223684210526316
153,0.222222222222222
154,0.220779220779221
155,0.219354838709677
156,0.217948717948718
157,0.21656050955414
158,0.215189873417722
159,0.213836477987421
160,0.21875
161,0.217391304347826
162,0.216049382716049
163,0.214723926380368
164,0.213414634146341
165,0.212121212121212
166,0.210843373493976
167,0.215568862275449
168,0.220238095238095
169,0.218934911242604
170,0.217647058823529
171,0.216374269005848
172,0.22093023255814
173,0.219653179190751
174,0.218390804597701
175,0.217142857142857
176,0.215909090909091
177,0.214689265536723
178,0.213483146067416
179,0.217877094972067
180,0.216666666666667
181,0.220994475138122
182,0.21978021978022
183,0.218579234972678
184,0.217391304347826
185,0.216216216216216
186,0.21505376344086
187,0.213903743315508
188,0.218085106382979
189,0.216931216931217
190,0.215789473684211
191,0.219895287958115
192,0.21875
193,0.217616580310881
194,0.216494845360825
195,0.215384615384615
196,0.214285714285714
197,0.213197969543147
198,0.212121212121212
199,0.21105527638191
200,0.215
201,0.218905472636816
202,0.217821782178218
203,0.216748768472906
204,0.215686274509804
205,0.219512195121951
206,0.218446601941748
207,0.217391304347826
208,0.216346153846154
209,0.215311004784689
210,0.214285714285714
211,0.213270142180095
212,0.216981132075472
213,0.220657276995305
214,0.219626168224299
215,0.218604651162791
216,0.217592592592593
217,0.216589861751152
218,0.215596330275229
219,0.214611872146119
220,0.213636363636364
221,0.217194570135747
222,0.216216216216216
223,0.2152466367713
224,0.214285714285714
225,0.213333333333333
226,0.212389380530973
227,0.211453744493392
228,0.210526315789474
229,0.209606986899563
230,0.208695652173913
231,0.207792207792208
232,0.206896551724138
233,0.206008583690987
234,0.205128205128205
235,0.208510638297872
236,0.207627118644068
237,0.210970464135021
238,0.210084033613445
239,0.209205020920502
240,0.208333333333333
241,0.20746887966805
242,0.206611570247934
243,0.205761316872428
244,0.209016393442623
245,0.208163265306122
246,0.207317073170732
247,0.206477732793522
248,0.205645161290323
249,0.204819277108434
250,0.204
